Mean charge as a function dwell time.
Temperature :      1.0 -  40000.0 eV
Density     : 1.00e+20 m-3
   200     5  # Te values, dwell time

Source data:
acd : /home/adas/adas/adf11/acd12/acd12_h.dat
scd : /home/adas/adas/adf11/scd12/scd12_h.dat
plt : /home/adas/adas/adf11/plt12/plt12_h.dat
prb : /home/adas/adas/adf11/prb12/prb12_h.dat

Te[eV]
 9.160e-01 9.358e-01 9.505e-01 9.615e-01 9.697e-01 9.760e-01 9.808e-01 9.844e-01
 9.873e-01 9.895e-01 9.913e-01 9.927e-01 9.939e-01 9.948e-01 9.955e-01 9.961e-01
 9.966e-01 9.971e-01 9.974e-01 9.977e-01 9.980e-01 9.982e-01 9.984e-01 9.985e-01
 9.987e-01 9.988e-01 9.989e-01 9.990e-01 9.991e-01 9.991e-01 9.992e-01 9.992e-01
 9.993e-01 9.993e-01 9.994e-01 9.994e-01 9.994e-01 9.995e-01 9.995e-01 9.995e-01
 9.995e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.997e-01
 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01
 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.998e-01 9.998e-01
 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01
 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01
 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01 9.998e-01
 9.998e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01
 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01
 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01 9.997e-01
 9.997e-01 9.997e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01
 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01 9.996e-01
 9.995e-01 9.995e-01 9.995e-01 9.995e-01 9.995e-01 9.995e-01 9.995e-01 9.995e-01
 9.995e-01 9.995e-01 9.994e-01 9.994e-01 9.994e-01 9.994e-01 9.994e-01 9.994e-01
 9.994e-01 9.994e-01 9.993e-01 9.993e-01 9.993e-01 9.993e-01 9.993e-01 9.993e-01
 9.992e-01 9.992e-01 9.992e-01 9.992e-01 9.992e-01 9.992e-01 9.991e-01 9.991e-01
 9.991e-01 9.991e-01 9.991e-01 9.990e-01 9.990e-01 9.990e-01 9.990e-01 9.990e-01
 9.989e-01 9.989e-01 9.989e-01 9.989e-01 9.988e-01 9.988e-01 9.988e-01 9.988e-01
 9.987e-01 9.987e-01 9.987e-01 9.986e-01 9.986e-01 9.986e-01 9.986e-01 9.985e-01
<Z> for tau[ms]=   10.0
