# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "3.2.3.dev30+g1c324336c.d20260112" 
Date_of_run______________________________________________________________ (date)_________________________ "30/01/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "17:58" 
User_____________________________________________________________________ (username)_____________________      "clair" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________ "v3.3.0-10-gd962004f" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________ "3920-optimum-solutions-comparison-notebook" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/clair/development/PROCESS/examples/data/large_tokamak_varied_min_net_electric_IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl010)____________________ 1.00000000000000002e-03 
t_tf_superconductor_quench_______________________________________________ (itvar011)_____________________ 2.05136258137474954e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm011)_______________________ 8.20545032549899744e-01 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar011)____________________ 2.04340598736211160e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu011)____________________ 1.00000000000000000e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl011)____________________ 1.00000000000000006e-01 
dr_tf_nose_case__________________________________________________________ (itvar012)_____________________ 2.72809267899604024e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm012)_______________________ 5.45618535799208049e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar012)____________________ 2.34536071473267410e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu012)____________________ 1.00000000000000000e+00 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl012)____________________ 5.00000000000000028e-02 
dx_tf_turn_steel_________________________________________________________ (itvar013)_____________________ 8.00015449147641229e-03 
dx_tf_turn_steel_(final_value/initial_value)_____________________________ (xcm013)_______________________ 1.00001931143455147e+00 
dx_tf_turn_steel_(range_normalised)______________________________________ (nitvar013)____________________ 1.67925517838888849e-06 
dx_tf_turn_steel_(upper_bound)___________________________________________ (boundu013)____________________ 1.00000000000000006e-01 
dx_tf_turn_steel_(lower_bound)___________________________________________ (boundl013)____________________ 8.00000000000000017e-03 
f_a_tf_turn_cable_copper_________________________________________________ (itvar014)_____________________ 9.05755600566968355e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm014)_______________________ 1.13219450070871042e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar014)____________________ 9.22171819470382848e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu014)____________________ 9.39999999999999947e-01 
